,n,const,sum,prod,simple_poly,horner_poly,bubble_sort,quicksort,timsort,matrix_dot
10,11.0,4.291534423828125e-07,1.1396408081054687e-05,5.9604644775390625e-06,3.151893615722656e-05,2.460479736328125e-05,4.644393920898438e-05,1.0061264038085938e-05,1.430511474609375e-06,7.2479248046875e-06
11,12.0,3.337860107421875e-07,1.010894775390625e-05,5.626678466796875e-06,3.4332275390625e-05,3.075599670410156e-05,4.23431396484375e-05,6.866455078125e-06,1.1920928955078125e-06,6.341934204101563e-06
12,13.0,3.814697265625e-07,1.0967254638671875e-05,6.532669067382812e-06,4.062652587890625e-05,3.5858154296875e-05,4.887580871582031e-05,7.009506225585937e-06,1.1920928955078125e-06,6.580352783203125e-06
13,14.0,3.337860107421875e-07,9.632110595703125e-06,5.817413330078125e-06,3.92913818359375e-05,3.070831298828125e-05,5.91278076171875e-05,7.581710815429688e-06,1.33514404296875e-06,7.200241088867187e-06
14,15.0,5.7220458984375e-07,1.845359802246094e-05,1.86920166015625e-05,5.979537963867188e-05,6.074905395507813e-05,0.00010380744934082031,2.0885467529296874e-05,2.47955322265625e-06,2.255439758300781e-05
15,16.0,1.4781951904296875e-06,4.1818618774414064e-05,1.8358230590820312e-05,0.00010223388671875,8.320808410644531e-05,0.00021109580993652343,2.9850006103515626e-05,3.3855438232421873e-06,2.226829528808594e-05
16,17.0,5.7220458984375e-07,1.9121170043945313e-05,1.3637542724609376e-05,0.00010895729064941406,9.579658508300782e-05,0.00022664070129394532,1.4209747314453125e-05,2.6226043701171875e-06,1.2540817260742188e-05
17,18.0,6.67572021484375e-07,1.7261505126953126e-05,1.2683868408203126e-05,0.00011324882507324219,9.770393371582032e-05,0.00026650428771972655,1.2922286987304688e-05,2.4318695068359373e-06,1.1110305786132813e-05
18,19.0,6.67572021484375e-07,1.8405914306640626e-05,1.2636184692382812e-05,0.00011744499206542969,9.04083251953125e-05,0.00026402473449707033,1.7404556274414062e-05,2.4318695068359373e-06,1.3494491577148438e-05
19,20.0,9.5367431640625e-07,2.593994140625e-05,1.4162063598632812e-05,0.00011286735534667968,8.320808410644531e-05,0.00028972625732421876,2.2077560424804686e-05,2.956390380859375e-06,2.2792816162109374e-05
20,21.0,8.106231689453125e-07,2.6178359985351562e-05,1.468658447265625e-05,0.00011091232299804687,8.420944213867187e-05,0.0002986907958984375,2.6941299438476562e-05,3.3855438232421873e-06,3.4236907958984374e-05
21,22.0,6.67572021484375e-07,2.13623046875e-05,9.1552734375e-06,7.586479187011718e-05,5.283355712890625e-05,0.0001609325408935547,1.316070556640625e-05,1.6689300537109375e-06,1.9884109497070314e-05
22,23.0,3.337860107421875e-07,9.107589721679688e-06,5.578994750976562e-06,5.888938903808594e-05,4.6586990356445314e-05,0.00016007423400878906,6.4849853515625e-06,1.1920928955078125e-06,6.29425048828125e-06
23,24.0,2.86102294921875e-07,8.7738037109375e-06,5.435943603515625e-06,6.0939788818359374e-05,4.858970642089844e-05,0.00015673637390136718,6.389617919921875e-06,1.0967254638671874e-06,6.4373016357421875e-06
24,25.0,2.86102294921875e-07,8.869171142578126e-06,5.340576171875e-06,6.351470947265624e-05,4.992485046386719e-05,0.0001804351806640625,6.628036499023438e-06,1.0967254638671874e-06,7.104873657226563e-06
25,26.0,2.384185791015625e-07,8.726119995117188e-06,5.578994750976562e-06,6.566047668457031e-05,5.240440368652344e-05,0.0002197265625,6.246566772460937e-06,1.33514404296875e-06,7.2479248046875e-06
26,27.0,4.291534423828125e-07,8.821487426757812e-06,5.435943603515625e-06,7.233619689941406e-05,5.53131103515625e-05,0.000213623046875,1.201629638671875e-05,1.52587890625e-06,1.430511474609375e-05
27,28.0,7.62939453125e-07,2.4747848510742187e-05,1.1014938354492188e-05,0.00010437965393066407,7.996559143066406e-05,0.0002651214599609375,2.1696090698242188e-05,2.1457672119140625e-06,2.1457672119140625e-05
28,29.0,7.62939453125e-07,1.7309188842773436e-05,8.487701416015625e-06,8.296966552734375e-05,6.351470947265624e-05,0.00024905204772949217,2.0742416381835938e-05,1.6689300537109375e-06,1.4638900756835937e-05
29,30.0,2.384185791015625e-07,9.679794311523438e-06,5.674362182617188e-06,7.653236389160156e-05,5.984306335449219e-05,0.0002414703369140625,7.43865966796875e-06,1.3828277587890625e-06,8.344650268554688e-06
30,31.0,2.86102294921875e-07,1.049041748046875e-05,5.435943603515625e-06,8.664131164550781e-05,6.618499755859376e-05,0.0002802371978759766,9.202957153320313e-06,2.002716064453125e-06,9.34600830078125e-06
31,32.0,8.106231689453125e-07,2.613067626953125e-05,1.087188720703125e-05,0.00015392303466796876,0.0001495838165283203,0.00044050216674804685,2.5510787963867188e-05,3.0517578125e-06,2.7132034301757812e-05
32,33.0,1.0967254638671874e-06,3.2949447631835935e-05,1.2922286987304688e-05,0.00015392303466796876,0.0001254558563232422,0.000504302978515625,2.512931823730469e-05,2.47955322265625e-06,2.8705596923828126e-05
33,34.0,4.76837158203125e-07,1.4543533325195312e-05,6.580352783203125e-06,9.388923645019532e-05,6.885528564453125e-05,0.00034956932067871095,9.441375732421875e-06,1.5735626220703124e-06,1.1491775512695313e-05
34,35.0,3.337860107421875e-07,9.393692016601562e-06,5.626678466796875e-06,9.007453918457032e-05,7.023811340332032e-05,0.00032315254211425783,6.866455078125e-06,1.5735626220703124e-06,9.250640869140624e-06
35,36.0,3.814697265625e-07,9.632110595703125e-06,5.435943603515625e-06,9.34600830078125e-05,7.100105285644532e-05,0.0003471851348876953,7.009506225585937e-06,1.3828277587890625e-06,1.1110305786132813e-05
